[14.10.2012 10:20:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:21:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:22:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:23:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:24:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:25:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:26:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:27:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:28:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:29:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:30:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:31:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:32:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:33:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:34:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:35:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:36:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:37:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:38:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:39:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:40:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:41:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:42:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:43:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:44:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:45:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:46:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:47:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:48:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:49:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:50:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:51:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:52:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:53:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:54:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:55:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:56:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:57:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:58:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 10:59:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:00:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:01:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:02:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:03:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:04:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:05:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:06:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:07:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:08:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:09:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:10:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:11:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:12:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:13:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:14:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:15:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:16:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:17:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:18:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:19:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:20:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:21:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:22:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:23:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:24:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:25:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:26:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:27:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:28:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:29:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 11:30:02] inner loop ended, sleeping for 60 seconds.
